        hetero_est  error_est
T100_0    0.004121   0.000762
T10_0     0.003906   0.000741
T11_0     0.003801   0.000760
T12_0     0.003961   0.000751
T13_0     0.003635   0.000770
T14_0     0.003414   0.000757
T15_0     0.003544   0.000766
T16_0     0.004192   0.000764
T17_0     0.003924   0.000756
T18_0     0.003876   0.000774
T19_0     0.003876   0.000767
T1_0      0.003822   0.000687
T20_0     0.004238   0.000746
T21_0     0.003754   0.000745
T22_0     0.003970   0.000786
T23_0     0.003990   0.000790
T24_0     0.003731   0.000750
T25_0     0.004089   0.000764
T26_0     0.003993   0.000727
T27_0     0.003456   0.000713
T28_0     0.004025   0.000755
T29_0     0.004076   0.000749
T2_0      0.003557   0.000780
T30_0     0.004179   0.000750
T31_0     0.003870   0.000657
T32_0     0.003704   0.000733
T33_0     0.004313   0.000774
T34_0     0.003961   0.000715
T35_0     0.003577   0.000778
T36_0     0.004145   0.000723
T37_0     0.003601   0.000801
T38_0     0.003711   0.000769
T39_0     0.003708   0.000721
T3_0      0.003321   0.000750
T40_0     0.003634   0.000742
T41_0     0.003798   0.000728
T42_0     0.003666   0.000754
T43_0     0.004165   0.000739
T44_0     0.003939   0.000777
T45_0     0.003569   0.000730
T46_0     0.003635   0.000735
T47_0     0.003106   0.000739
T48_0     0.003284   0.000759
T49_0     0.003777   0.000775
T4_0      0.003880   0.000760
T50_0     0.003574   0.000743
T51_0     0.003738   0.000787
T52_0     0.003751   0.000716
T53_0     0.004029   0.000735
T54_0     0.004286   0.000773
T55_0     0.003661   0.000693
T56_0     0.003737   0.000780
T57_0     0.004180   0.000727
T58_0     0.003706   0.000700
T59_0     0.003438   0.000759
T5_0      0.004112   0.000786
T60_0     0.004263   0.000750
T61_0     0.004115   0.000767
T62_0     0.003374   0.000717
T63_0     0.003454   0.000773
T64_0     0.004142   0.000756
T65_0     0.003126   0.000738
T66_0     0.003512   0.000741
T67_0     0.003697   0.000748
T68_0     0.003869   0.000758
T69_0     0.003915   0.000760
T6_0      0.003748   0.000753
T70_0     0.003715   0.000755
T71_0     0.003825   0.000718
T72_0     0.003973   0.000700
T73_0     0.003755   0.000740
T74_0     0.003174   0.000738
T75_0     0.003786   0.000750
T76_0     0.004152   0.000698
T77_0     0.003631   0.000736
T78_0     0.003916   0.000736
T79_0     0.003251   0.000736
T7_0      0.003887   0.000727
T80_0     0.003963   0.000810
T81_0     0.004059   0.000725
T82_0     0.004060   0.000737
T83_0     0.004408   0.000777
T84_0     0.003803   0.000726
T85_0     0.004364   0.000735
T86_0     0.004363   0.000717
T87_0     0.003781   0.000758
T88_0     0.003796   0.000737
T89_0     0.003817   0.000717
T8_0      0.003497   0.000733
T90_0     0.003936   0.000721
T91_0     0.004069   0.000748
T92_0     0.003774   0.000730
T93_0     0.003662   0.000748
T94_0     0.003641   0.000712
T95_0     0.003647   0.000768
T96_0     0.003144   0.000712
T97_0     0.003644   0.000778
T98_0     0.003899   0.000726
T99_0     0.003948   0.000736
T9_0      0.004104   0.000781
