        hetero_est  error_est
T100_0    0.003437   0.000755
T10_0     0.003932   0.000770
T11_0     0.004336   0.000765
T12_0     0.003608   0.000727
T13_0     0.004309   0.000787
T14_0     0.003727   0.000757
T15_0     0.003717   0.000747
T16_0     0.003891   0.000739
T17_0     0.003867   0.000730
T18_0     0.004171   0.000718
T19_0     0.003926   0.000750
T1_0      0.004008   0.000740
T20_0     0.003797   0.000727
T21_0     0.003561   0.000806
T22_0     0.003770   0.000741
T23_0     0.004129   0.000773
T24_0     0.003834   0.000727
T25_0     0.003558   0.000732
T26_0     0.003844   0.000738
T27_0     0.003823   0.000754
T28_0     0.004075   0.000761
T29_0     0.003566   0.000709
T2_0      0.004235   0.000715
T30_0     0.003768   0.000746
T31_0     0.003515   0.000710
T32_0     0.003414   0.000717
T33_0     0.004612   0.000720
T34_0     0.004096   0.000754
T35_0     0.003580   0.000780
T36_0     0.003272   0.000745
T37_0     0.003493   0.000734
T38_0     0.003974   0.000779
T39_0     0.004005   0.000762
T3_0      0.004016   0.000747
T40_0     0.003654   0.000730
T41_0     0.003931   0.000770
T42_0     0.004389   0.000811
T43_0     0.003713   0.000754
T44_0     0.004453   0.000737
T45_0     0.003905   0.000777
T46_0     0.003637   0.000740
T47_0     0.003930   0.000720
T48_0     0.003616   0.000748
T49_0     0.003565   0.000749
T4_0      0.003852   0.000715
T50_0     0.003637   0.000741
T51_0     0.003548   0.000768
T52_0     0.003628   0.000762
T53_0     0.003995   0.000758
T54_0     0.003621   0.000756
T55_0     0.004124   0.000752
T56_0     0.003578   0.000781
T57_0     0.003941   0.000739
T58_0     0.003821   0.000775
T59_0     0.003881   0.000735
T5_0      0.004212   0.000722
T60_0     0.003748   0.000742
T61_0     0.003701   0.000716
T62_0     0.003956   0.000764
T63_0     0.003781   0.000734
T64_0     0.004046   0.000716
T65_0     0.003790   0.000739
T66_0     0.004214   0.000774
T67_0     0.004275   0.000684
T68_0     0.003927   0.000749
T69_0     0.003301   0.000762
T6_0      0.003911   0.000739
T70_0     0.003374   0.000746
T71_0     0.003784   0.000757
T72_0     0.004055   0.000682
T73_0     0.003492   0.000777
T74_0     0.003825   0.000782
T75_0     0.003778   0.000731
T76_0     0.003528   0.000750
T77_0     0.004218   0.000755
T78_0     0.003886   0.000740
T79_0     0.003551   0.000711
T7_0      0.003855   0.000768
T80_0     0.003981   0.000773
T81_0     0.004209   0.000732
T82_0     0.004007   0.000765
T83_0     0.003434   0.000727
T84_0     0.003720   0.000779
T85_0     0.003604   0.000730
T86_0     0.004260   0.000763
T87_0     0.003954   0.000737
T88_0     0.003904   0.000753
T89_0     0.003708   0.000769
T8_0      0.004097   0.000766
T90_0     0.003529   0.000731
T91_0     0.003460   0.000753
T92_0     0.003818   0.000723
T93_0     0.003403   0.000785
T94_0     0.004626   0.000743
T95_0     0.003719   0.000741
T96_0     0.003611   0.000774
T97_0     0.004049   0.000762
T98_0     0.004247   0.000775
T99_0     0.004199   0.000738
T9_0      0.003571   0.000720
