        reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
T100_0      14660                      0                      0                     0                         0                14660
T10_0       14680                      0                      0                     0                         0                14680
T11_0       14520                      0                      0                     0                         0                14520
T12_0       14380                      0                      0                     0                         0                14380
T13_0       14410                      0                      0                     0                         0                14410
T14_0       14220                      0                      0                     0                         0                14220
T15_0       14140                      0                      0                     0                         0                14140
T16_0       14590                      0                      0                     0                         0                14590
T17_0       14530                      0                      0                     0                         0                14530
T18_0       14540                      0                      0                     0                         0                14540
T19_0       14130                      0                      0                     0                         0                14130
T1_0        14660                      0                      0                     0                         0                14660
T20_0       14340                      0                      0                     0                         0                14340
T21_0       14350                      0                      0                     0                         0                14350
T22_0       14230                      0                      0                     0                         0                14230
T23_0       14490                      0                      0                     0                         0                14490
T24_0       14320                      0                      0                     0                         0                14320
T25_0       14410                      0                      0                     0                         0                14410
T26_0       14390                      0                      0                     0                         0                14390
T27_0       14640                      0                      0                     0                         0                14640
T28_0       14670                      0                      0                     0                         0                14670
T29_0       14720                      0                      0                     0                         0                14720
T2_0        14580                      0                      0                     0                         0                14580
T30_0       14660                      0                      0                     0                         0                14660
T31_0       14690                      0                      0                     0                         0                14690
T32_0       14590                      0                      0                     0                         0                14590
T33_0       14650                      0                      0                     0                         0                14650
T34_0       14280                      0                      0                     0                         0                14280
T35_0       14210                      0                      0                     0                         0                14210
T36_0       14110                      0                      0                     0                         0                14110
T37_0       14370                      0                      0                     0                         0                14370
T38_0       14340                      0                      0                     0                         0                14340
T39_0       14260                      0                      0                     0                         0                14260
T3_0        14540                      0                      0                     0                         0                14540
T40_0       14530                      0                      0                     0                         0                14530
T41_0       14550                      0                      0                     0                         0                14550
T42_0       14500                      0                      0                     0                         0                14500
T43_0       14290                      0                      0                     0                         0                14290
T44_0       14280                      0                      0                     0                         0                14280
T45_0       14250                      0                      0                     0                         0                14250
T46_0       14250                      0                      0                     0                         0                14250
T47_0       14310                      0                      0                     0                         0                14310
T48_0       14190                      0                      0                     0                         0                14190
T49_0       14180                      0                      0                     0                         0                14180
T4_0        14570                      0                      0                     0                         0                14570
T50_0       14250                      0                      0                     0                         0                14250
T51_0       14190                      0                      0                     0                         0                14190
T52_0       14310                      0                      0                     0                         0                14310
T53_0       14070                      0                      0                     0                         0                14070
T54_0       14280                      0                      0                     0                         0                14280
T55_0       14330                      0                      0                     0                         0                14330
T56_0       14270                      0                      0                     0                         0                14270
T57_0       14150                      0                      0                     0                         0                14150
T58_0       14210                      0                      0                     0                         0                14210
T59_0       14280                      0                      0                     0                         0                14280
T5_0        14240                      0                      0                     0                         0                14240
T60_0       14380                      0                      0                     0                         0                14380
T61_0       14390                      0                      0                     0                         0                14390
T62_0       14330                      0                      0                     0                         0                14330
T63_0       14210                      0                      0                     0                         0                14210
T64_0       14290                      0                      0                     0                         0                14290
T65_0       14240                      0                      0                     0                         0                14240
T66_0       14320                      0                      0                     0                         0                14320
T67_0       14350                      0                      0                     0                         0                14350
T68_0       14480                      0                      0                     0                         0                14480
T69_0       14510                      0                      0                     0                         0                14510
T6_0        14640                      0                      0                     0                         0                14640
T70_0       14390                      0                      0                     0                         0                14390
T71_0       14330                      0                      0                     0                         0                14330
T72_0       14600                      0                      0                     0                         0                14600
T73_0       14680                      0                      0                     0                         0                14680
T74_0       14710                      0                      0                     0                         0                14710
T75_0       14580                      0                      0                     0                         0                14580
T76_0       14700                      0                      0                     0                         0                14700
T77_0       14470                      0                      0                     0                         0                14470
T78_0       14530                      0                      0                     0                         0                14530
T79_0       14650                      0                      0                     0                         0                14650
T7_0        14670                      0                      0                     0                         0                14670
T80_0       14490                      0                      0                     0                         0                14490
T81_0       14640                      0                      0                     0                         0                14640
T82_0       14530                      0                      0                     0                         0                14530
T83_0       14740                      0                      0                     0                         0                14740
T84_0       14690                      0                      0                     0                         0                14690
T85_0       14750                      0                      0                     0                         0                14750
T86_0       14680                      0                      0                     0                         0                14680
T87_0       14380                      0                      0                     0                         0                14380
T88_0       14610                      0                      0                     0                         0                14610
T89_0       14540                      0                      0                     0                         0                14540
T8_0        14580                      0                      0                     0                         0                14580
T90_0       14500                      0                      0                     0                         0                14500
T91_0       14610                      0                      0                     0                         0                14610
T92_0       14550                      0                      0                     0                         0                14550
T93_0       14470                      0                      0                     0                         0                14470
T94_0       14600                      0                      0                     0                         0                14600
T95_0       14570                      0                      0                     0                         0                14570
T96_0       14360                      0                      0                     0                         0                14360
T97_0       14470                      0                      0                     0                         0                14470
T98_0       14570                      0                      0                     0                         0                14570
T99_0       14480                      0                      0                     0                         0                14480
T9_0        14670                      0                      0                     0                         0                14670
