        hetero_est  error_est
T100_0    0.003534   0.000754
T10_0     0.003646   0.000746
T11_0     0.003899   0.000744
T12_0     0.003963   0.000734
T13_0     0.004266   0.000748
T14_0     0.004050   0.000760
T15_0     0.003815   0.000746
T16_0     0.003668   0.000748
T17_0     0.003981   0.000762
T18_0     0.003892   0.000739
T19_0     0.003243   0.000746
T1_0      0.004182   0.000733
T20_0     0.004104   0.000737
T21_0     0.003458   0.000745
T22_0     0.003861   0.000772
T23_0     0.003770   0.000715
T24_0     0.003676   0.000726
T25_0     0.003354   0.000751
T26_0     0.003613   0.000723
T27_0     0.003750   0.000730
T28_0     0.003890   0.000750
T29_0     0.003664   0.000743
T2_0      0.004014   0.000797
T30_0     0.003676   0.000732
T31_0     0.003942   0.000727
T32_0     0.003700   0.000702
T33_0     0.003842   0.000727
T34_0     0.004277   0.000793
T35_0     0.003767   0.000722
T36_0     0.003905   0.000747
T37_0     0.004055   0.000731
T38_0     0.004210   0.000807
T39_0     0.003831   0.000711
T3_0      0.004281   0.000755
T40_0     0.004087   0.000738
T41_0     0.004266   0.000721
T42_0     0.003880   0.000797
T43_0     0.003195   0.000749
T44_0     0.003724   0.000747
T45_0     0.003933   0.000715
T46_0     0.003919   0.000750
T47_0     0.004225   0.000767
T48_0     0.003489   0.000782
T49_0     0.003713   0.000773
T4_0      0.003967   0.000728
T50_0     0.003927   0.000704
T51_0     0.003963   0.000714
T52_0     0.003747   0.000764
T53_0     0.004647   0.000715
T54_0     0.003953   0.000759
T55_0     0.003690   0.000728
T56_0     0.003922   0.000734
T57_0     0.003360   0.000738
T58_0     0.003903   0.000774
T59_0     0.003683   0.000742
T5_0      0.003668   0.000739
T60_0     0.004119   0.000775
T61_0     0.003744   0.000766
T62_0     0.003530   0.000719
T63_0     0.004197   0.000716
T64_0     0.003774   0.000738
T65_0     0.003721   0.000747
T66_0     0.003937   0.000751
T67_0     0.003701   0.000754
T68_0     0.003725   0.000726
T69_0     0.003735   0.000731
T6_0      0.003972   0.000724
T70_0     0.003841   0.000744
T71_0     0.004056   0.000753
T72_0     0.004212   0.000728
T73_0     0.003412   0.000734
T74_0     0.003682   0.000740
T75_0     0.003562   0.000738
T76_0     0.003590   0.000758
T77_0     0.004356   0.000733
T78_0     0.003647   0.000785
T79_0     0.003615   0.000729
T7_0      0.003930   0.000713
T80_0     0.004496   0.000753
T81_0     0.003990   0.000736
T82_0     0.003484   0.000708
T83_0     0.003883   0.000722
T84_0     0.003646   0.000752
T85_0     0.004024   0.000752
T86_0     0.003542   0.000710
T87_0     0.003813   0.000762
T88_0     0.003943   0.000723
T89_0     0.004425   0.000705
T8_0      0.003673   0.000743
T90_0     0.004241   0.000757
T91_0     0.003721   0.000730
T92_0     0.003977   0.000752
T93_0     0.003859   0.000762
T94_0     0.003705   0.000727
T95_0     0.004111   0.000753
T96_0     0.003853   0.000765
T97_0     0.003420   0.000752
T98_0     0.003518   0.000789
T99_0     0.003676   0.000748
T9_0      0.004092   0.000773
