        reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
T100_0      16490                      0                      0                     0                         0                16490
T10_0       16170                      0                      0                     0                         0                16170
T11_0       16070                      0                      0                     0                         0                16070
T12_0       16160                      0                      0                     0                         0                16160
T13_0       15980                      0                      0                     0                         0                15980
T14_0       15900                      0                      0                     0                         0                15900
T15_0       16000                      0                      0                     0                         0                16000
T16_0       15900                      0                      0                     0                         0                15900
T17_0       16020                      0                      0                     0                         0                16020
T18_0       16170                      0                      0                     0                         0                16170
T19_0       16240                      0                      0                     0                         0                16240
T1_0        16480                      0                      0                     0                         0                16480
T20_0       16150                      0                      0                     0                         0                16150
T21_0       16120                      0                      0                     0                         0                16120
T22_0       16200                      0                      0                     0                         0                16200
T23_0       16200                      0                      0                     0                         0                16200
T24_0       16170                      0                      0                     0                         0                16170
T25_0       16010                      0                      0                     0                         0                16010
T26_0       16130                      0                      0                     0                         0                16130
T27_0       16040                      0                      0                     0                         0                16040
T28_0       15970                      0                      0                     0                         0                15970
T29_0       16020                      0                      0                     0                         0                16020
T2_0        16570                      0                      0                     0                         0                16570
T30_0       16360                      0                      0                     0                         0                16360
T31_0       16260                      0                      0                     0                         0                16260
T32_0       16260                      0                      0                     0                         0                16260
T33_0       16430                      0                      0                     0                         0                16430
T34_0       16320                      0                      0                     0                         0                16320
T35_0       16330                      0                      0                     0                         0                16330
T36_0       16440                      0                      0                     0                         0                16440
T37_0       16610                      0                      0                     0                         0                16610
T38_0       17090                      0                      0                     0                         0                17090
T39_0       16940                      0                      0                     0                         0                16940
T3_0        16410                      0                      0                     0                         0                16410
T40_0       17010                      0                      0                     0                         0                17010
T41_0       16890                      0                      0                     0                         0                16890
T42_0       16840                      0                      0                     0                         0                16840
T43_0       16900                      0                      0                     0                         0                16900
T44_0       16920                      0                      0                     0                         0                16920
T45_0       16770                      0                      0                     0                         0                16770
T46_0       16710                      0                      0                     0                         0                16710
T47_0       16560                      0                      0                     0                         0                16560
T48_0       16070                      0                      0                     0                         0                16070
T49_0       16180                      0                      0                     0                         0                16180
T4_0        16460                      0                      0                     0                         0                16460
T50_0       16100                      0                      0                     0                         0                16100
T51_0       16230                      0                      0                     0                         0                16230
T52_0       16250                      0                      0                     0                         0                16250
T53_0       16310                      0                      0                     0                         0                16310
T54_0       16220                      0                      0                     0                         0                16220
T55_0       16100                      0                      0                     0                         0                16100
T56_0       16220                      0                      0                     0                         0                16220
T57_0       16360                      0                      0                     0                         0                16360
T58_0       16350                      0                      0                     0                         0                16350
T59_0       16350                      0                      0                     0                         0                16350
T5_0        16310                      0                      0                     0                         0                16310
T60_0       16460                      0                      0                     0                         0                16460
T61_0       16320                      0                      0                     0                         0                16320
T62_0       16410                      0                      0                     0                         0                16410
T63_0       16320                      0                      0                     0                         0                16320
T64_0       16390                      0                      0                     0                         0                16390
T65_0       16620                      0                      0                     0                         0                16620
T66_0       16390                      0                      0                     0                         0                16390
T67_0       16750                      0                      0                     0                         0                16750
T68_0       16430                      0                      0                     0                         0                16430
T69_0       16470                      0                      0                     0                         0                16470
T6_0        16180                      0                      0                     0                         0                16180
T70_0       16580                      0                      0                     0                         0                16580
T71_0       16650                      0                      0                     0                         0                16650
T72_0       16530                      0                      0                     0                         0                16530
T73_0       16170                      0                      0                     0                         0                16170
T74_0       16330                      0                      0                     0                         0                16330
T75_0       16430                      0                      0                     0                         0                16430
T76_0       16670                      0                      0                     0                         0                16670
T77_0       16560                      0                      0                     0                         0                16560
T78_0       16750                      0                      0                     0                         0                16750
T79_0       16500                      0                      0                     0                         0                16500
T7_0        16270                      0                      0                     0                         0                16270
T80_0       16610                      0                      0                     0                         0                16610
T81_0       16770                      0                      0                     0                         0                16770
T82_0       16390                      0                      0                     0                         0                16390
T83_0       16510                      0                      0                     0                         0                16510
T84_0       16590                      0                      0                     0                         0                16590
T85_0       16540                      0                      0                     0                         0                16540
T86_0       16580                      0                      0                     0                         0                16580
T87_0       16650                      0                      0                     0                         0                16650
T88_0       16600                      0                      0                     0                         0                16600
T89_0       16690                      0                      0                     0                         0                16690
T8_0        16310                      0                      0                     0                         0                16310
T90_0       16460                      0                      0                     0                         0                16460
T91_0       16780                      0                      0                     0                         0                16780
T92_0       16430                      0                      0                     0                         0                16430
T93_0       16640                      0                      0                     0                         0                16640
T94_0       16720                      0                      0                     0                         0                16720
T95_0       16710                      0                      0                     0                         0                16710
T96_0       16590                      0                      0                     0                         0                16590
T97_0       16360                      0                      0                     0                         0                16360
T98_0       16290                      0                      0                     0                         0                16290
T99_0       16600                      0                      0                     0                         0                16600
T9_0        16180                      0                      0                     0                         0                16180
