        reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
T100_0      16430                      0                      0                     0                         0                16430
T10_0       16540                      0                      0                     0                         0                16540
T11_0       16480                      0                      0                     0                         0                16480
T12_0       16540                      0                      0                     0                         0                16540
T13_0       16550                      0                      0                     0                         0                16550
T14_0       16560                      0                      0                     0                         0                16560
T15_0       16550                      0                      0                     0                         0                16550
T16_0       16750                      0                      0                     0                         0                16750
T17_0       16750                      0                      0                     0                         0                16750
T18_0       16500                      0                      0                     0                         0                16500
T19_0       16370                      0                      0                     0                         0                16370
T1_0        16310                      0                      0                     0                         0                16310
T20_0       16350                      0                      0                     0                         0                16350
T21_0       16490                      0                      0                     0                         0                16490
T22_0       16530                      0                      0                     0                         0                16530
T23_0       16460                      0                      0                     0                         0                16460
T24_0       16650                      0                      0                     0                         0                16650
T25_0       16680                      0                      0                     0                         0                16680
T26_0       16560                      0                      0                     0                         0                16560
T27_0       16630                      0                      0                     0                         0                16630
T28_0       16580                      0                      0                     0                         0                16580
T29_0       16630                      0                      0                     0                         0                16630
T2_0        16390                      0                      0                     0                         0                16390
T30_0       16710                      0                      0                     0                         0                16710
T31_0       16610                      0                      0                     0                         0                16610
T32_0       16570                      0                      0                     0                         0                16570
T33_0       16540                      0                      0                     0                         0                16540
T34_0       16470                      0                      0                     0                         0                16470
T35_0       16530                      0                      0                     0                         0                16530
T36_0       16490                      0                      0                     0                         0                16490
T37_0       16340                      0                      0                     0                         0                16340
T38_0       16490                      0                      0                     0                         0                16490
T39_0       16490                      0                      0                     0                         0                16490
T3_0        16360                      0                      0                     0                         0                16360
T40_0       16600                      0                      0                     0                         0                16600
T41_0       16640                      0                      0                     0                         0                16640
T42_0       16400                      0                      0                     0                         0                16400
T43_0       16750                      0                      0                     0                         0                16750
T44_0       16800                      0                      0                     0                         0                16800
T45_0       16650                      0                      0                     0                         0                16650
T46_0       16540                      0                      0                     0                         0                16540
T47_0       16270                      0                      0                     0                         0                16270
T48_0       16360                      0                      0                     0                         0                16360
T49_0       16220                      0                      0                     0                         0                16220
T4_0        16610                      0                      0                     0                         0                16610
T50_0       16370                      0                      0                     0                         0                16370
T51_0       16440                      0                      0                     0                         0                16440
T52_0       16390                      0                      0                     0                         0                16390
T53_0       16410                      0                      0                     0                         0                16410
T54_0       16520                      0                      0                     0                         0                16520
T55_0       16340                      0                      0                     0                         0                16340
T56_0       16380                      0                      0                     0                         0                16380
T57_0       16420                      0                      0                     0                         0                16420
T58_0       16480                      0                      0                     0                         0                16480
T59_0       16750                      0                      0                     0                         0                16750
T5_0        16180                      0                      0                     0                         0                16180
T60_0       16670                      0                      0                     0                         0                16670
T61_0       16640                      0                      0                     0                         0                16640
T62_0       16470                      0                      0                     0                         0                16470
T63_0       16700                      0                      0                     0                         0                16700
T64_0       16460                      0                      0                     0                         0                16460
T65_0       16550                      0                      0                     0                         0                16550
T66_0       16540                      0                      0                     0                         0                16540
T67_0       16460                      0                      0                     0                         0                16460
T68_0       16420                      0                      0                     0                         0                16420
T69_0       16430                      0                      0                     0                         0                16430
T6_0        16330                      0                      0                     0                         0                16330
T70_0       16470                      0                      0                     0                         0                16470
T71_0       16420                      0                      0                     0                         0                16420
T72_0       16530                      0                      0                     0                         0                16530
T73_0       16890                      0                      0                     0                         0                16890
T74_0       16790                      0                      0                     0                         0                16790
T75_0       16810                      0                      0                     0                         0                16810
T76_0       16800                      0                      0                     0                         0                16800
T77_0       16920                      0                      0                     0                         0                16920
T78_0       16870                      0                      0                     0                         0                16870
T79_0       16980                      0                      0                     0                         0                16980
T7_0        16400                      0                      0                     0                         0                16400
T80_0       16720                      0                      0                     0                         0                16720
T81_0       16770                      0                      0                     0                         0                16770
T82_0       16650                      0                      0                     0                         0                16650
T83_0       16790                      0                      0                     0                         0                16790
T84_0       16580                      0                      0                     0                         0                16580
T85_0       16500                      0                      0                     0                         0                16500
T86_0       16580                      0                      0                     0                         0                16580
T87_0       16590                      0                      0                     0                         0                16590
T88_0       16390                      0                      0                     0                         0                16390
T89_0       16490                      0                      0                     0                         0                16490
T8_0        16310                      0                      0                     0                         0                16310
T90_0       16570                      0                      0                     0                         0                16570
T91_0       16500                      0                      0                     0                         0                16500
T92_0       16640                      0                      0                     0                         0                16640
T93_0       16590                      0                      0                     0                         0                16590
T94_0       16790                      0                      0                     0                         0                16790
T95_0       16630                      0                      0                     0                         0                16630
T96_0       16410                      0                      0                     0                         0                16410
T97_0       16440                      0                      0                     0                         0                16440
T98_0       16580                      0                      0                     0                         0                16580
T99_0       16330                      0                      0                     0                         0                16330
T9_0        16330                      0                      0                     0                         0                16330
